source,title,price,category,rating,availability,scraped_at,title_clean,availability_standardized,price_category,rating_category
books_toscrape,Shakespeare's Sonnets,20.66,Poetry,4,In stock (19 available),2025-09-24 12:40:31.422880,shakespeares sonnets,In Stock,Affordable,Good
books_toscrape,Set Me Free,17.46,Young Adult,5,In stock (19 available),2025-09-24 12:40:32.214482,set me free,In Stock,Affordable,Excellent
books_toscrape,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Sequential Art,5,In stock (19 available),2025-09-24 12:40:33.006347,scott pilgrims precious little life scott pilgrim 1,In Stock,Premium,Excellent
books_toscrape,Rip it Up and Start Again,35.02,Music,5,In stock (19 available),2025-09-24 12:40:33.787318,rip it up and start again,In Stock,Mid-range,Excellent
books_toscrape,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Music,3,In stock (19 available),2025-09-24 12:40:34.585491,"our band could be your life scenes from the american indie underground, 19811991",In Stock,Premium,Average
books_toscrape,Olio,23.88,Poetry,1,In stock (19 available),2025-09-24 12:40:35.570419,olio,In Stock,Affordable,Very Poor
books_toscrape,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,Science Fiction,1,In stock (19 available),2025-09-24 12:40:36.441476,mesaerion the best science fiction stories 18001849,In Stock,Mid-range,Very Poor
books_toscrape,Libertarianism for Beginners,51.33,Politics,2,In stock (19 available),2025-09-24 12:40:37.235741,libertarianism for beginners,In Stock,Premium,Poor
books_toscrape,It's Only the Himalayas,45.17,Travel,2,In stock (19 available),2025-09-24 12:40:38.110089,its only the himalayas,In Stock,Mid-range,Poor
books_toscrape,In Her Wake,12.84,Thriller,1,In stock (19 available),2025-09-24 12:40:40.996201,in her wake,In Stock,Affordable,Very Poor
books_toscrape,How Music Works,37.32,Music,2,In stock (19 available),2025-09-24 12:40:41.783232,how music works,In Stock,Mid-range,Poor
books_toscrape,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Food and Drink,3,In stock (19 available),2025-09-24 12:40:42.578770,"foolproof preserving a guide to small batch jams, jellies, pickles, condiments, and more a foolproof guide to making small batch jams, jellies, pickles, condiments, and more",In Stock,Mid-range,Average
books_toscrape,Chase Me (Paris Nights #2),25.27,Romance,5,In stock (19 available),2025-09-24 12:40:43.382326,chase me paris nights 2,In Stock,Mid-range,Excellent
books_toscrape,Black Dust,34.53,Romance,5,In stock (19 available),2025-09-24 12:40:44.189994,black dust,In Stock,Mid-range,Excellent
books_toscrape,Birdsong: A Story in Pictures,54.64,Childrens,3,In stock (19 available),2025-09-24 12:40:44.993784,birdsong a story in pictures,In Stock,Premium,Average
books_toscrape,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,Default,3,In stock (19 available),2025-09-24 12:40:45.776539,americas cradle of quarterbacks western pennsylvanias football factory from johnny unitas to joe montana,In Stock,Affordable,Average
books_toscrape,Aladdin and His Wonderful Lamp,53.13,Default,3,In stock (19 available),2025-09-24 12:40:46.561538,aladdin and his wonderful lamp,In Stock,Premium,Average
books_toscrape,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,Nonfiction,5,In stock (18 available),2025-09-24 12:40:47.362811,worlds elsewhere journeys around shakespeares globe,In Stock,Mid-range,Excellent
books_toscrape,Wall and Piece,44.18,Art,4,In stock (18 available),2025-09-24 12:40:48.164623,wall and piece,In Stock,Mid-range,Good
books_toscrape,The Four Agreements: A Practical Guide to Personal Freedom,17.66,Spirituality,5,In stock (18 available),2025-09-24 12:40:48.952611,the four agreements a practical guide to personal freedom,In Stock,Affordable,Excellent
books_toscrape,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Nonfiction,3,In stock (18 available),2025-09-24 12:40:49.754184,the five love languages how to express heartfelt commitment to your mate,In Stock,Mid-range,Average
books_toscrape,The Elephant Tree,23.82,Thriller,5,In stock (18 available),2025-09-24 12:40:50.551232,the elephant tree,In Stock,Affordable,Excellent
books_toscrape,The Bear and the Piano,36.89,Childrens,1,In stock (18 available),2025-09-24 12:40:51.427658,the bear and the piano,In Stock,Mid-range,Very Poor
books_toscrape,Sophie's World,15.94,Philosophy,5,In stock (18 available),2025-09-24 12:40:52.354635,sophies world,In Stock,Affordable,Excellent
books_toscrape,Penny Maybe,33.29,Default,3,In stock (18 available),2025-09-24 12:40:53.164474,penny maybe,In Stock,Mid-range,Average
books_toscrape,Maude (1883-1993):She Grew Up with the country,18.02,Default,2,In stock (18 available),2025-09-24 12:40:53.967061,maude 18831993she grew up with the country,In Stock,Affordable,Poor
books_toscrape,"In a Dark, Dark Wood",19.63,Mystery,1,In stock (18 available),2025-09-24 12:40:54.763753,"in a dark, dark wood",In Stock,Affordable,Very Poor
books_toscrape,Behind Closed Doors,52.22,Thriller,4,In stock (18 available),2025-09-24 12:40:55.562696,behind closed doors,In Stock,Premium,Good
books_toscrape,You can't bury them all: Poems,33.63,Poetry,2,In stock (17 available),2025-09-24 12:40:56.355831,you cant bury them all poems,In Stock,Mid-range,Poor
books_toscrape,Slow States of Collapse: Poems,57.31,Poetry,3,In stock (17 available),2025-09-24 12:40:59.234103,slow states of collapse poems,In Stock,Premium,Average
books_toscrape,Reasons to Stay Alive,26.41,Nonfiction,2,In stock (17 available),2025-09-24 12:41:01.321858,reasons to stay alive,In Stock,Mid-range,Poor
books_toscrape,Private Paris (Private #10),47.61,Fiction,5,In stock (17 available),2025-09-24 12:41:02.178785,private paris private 10,In Stock,Mid-range,Excellent
books_toscrape,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Nonfiction,5,In stock (17 available),2025-09-24 12:41:03.062750,higherselfie wake up your life. free your soul. find your tribe.,In Stock,Affordable,Excellent
books_toscrape,Without Borders (Wanderlove #1),45.07,New Adult,2,In stock (16 available),2025-09-24 12:41:03.932627,without borders wanderlove 1,In Stock,Mid-range,Poor
books_toscrape,When We Collided,31.77,Contemporary,1,In stock (16 available),2025-09-24 12:41:04.798772,when we collided,In Stock,Mid-range,Very Poor
books_toscrape,"We Love You, Charlie Freeman",50.27,Fiction,5,In stock (16 available),2025-09-24 12:41:05.603866,"we love you, charlie freeman",In Stock,Premium,Excellent
books_toscrape,Untitled Collection: Sabbath Poems 2014,14.27,Poetry,4,In stock (16 available),2025-09-24 12:41:06.411754,untitled collection sabbath poems 2014,In Stock,Affordable,Good
books_toscrape,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Nonfiction,4,In stock (16 available),2025-09-24 12:41:07.214595,"unseen city the majesty of pigeons, the discreet charm of snails other wonders of the urban wilderness",In Stock,Mid-range,Good
books_toscrape,Unicorn Tracks,18.78,Fantasy,3,In stock (16 available),2025-09-24 12:41:08.027776,unicorn tracks,In Stock,Affordable,Average
books_toscrape,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,History,1,In stock (16 available),2025-09-24 12:41:09.840545,"unbound how eight technologies made us human, transformed society, and brought our world to the brink",In Stock,Mid-range,Very Poor
books_toscrape,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,Sequential Art,1,In stock (16 available),2025-09-24 12:41:11.237352,tsubasa world chronicle 2 tsubasa world chronicle 2,In Stock,Affordable,Very Poor
books_toscrape,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Nonfiction,3,In stock (16 available),2025-09-24 12:41:12.090723,throwing rocks at the google bus how growth became the enemy of prosperity,In Stock,Mid-range,Average
books_toscrape,This One Summer,19.49,Sequential Art,4,In stock (16 available),2025-09-24 12:41:12.920125,this one summer,In Stock,Affordable,Good
books_toscrape,Thirst,17.27,Fiction,5,In stock (16 available),2025-09-24 12:41:13.707613,thirst,In Stock,Affordable,Excellent
books_toscrape,The Torch Is Passed: A Harding Family Story,19.09,Add a comment,1,In stock (16 available),2025-09-24 12:41:14.511626,the torch is passed a harding family story,In Stock,Affordable,Very Poor
books_toscrape,The Secret of Dreadwillow Carse,56.13,Childrens,1,In stock (16 available),2025-09-24 12:41:15.323154,the secret of dreadwillow carse,In Stock,Premium,Very Poor
books_toscrape,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,Food and Drink,1,In stock (16 available),2025-09-24 12:41:16.150958,"the pioneer woman cooks dinnertime comfort classics, freezer food, 16minute meals, and other delicious ways to solve supper!",In Stock,Premium,Very Poor
books_toscrape,The Past Never Ends,56.5,Mystery,4,In stock (16 available),2025-09-24 12:41:16.966750,the past never ends,In Stock,Premium,Good
books_toscrape,The Natural History of Us (The Fine Art of Pretending #2),45.22,Young Adult,3,In stock (16 available),2025-09-24 12:41:17.768144,the natural history of us the fine art of pretending 2,In Stock,Mid-range,Average
books_toscrape,The Nameless City (The Nameless City #1),38.16,Sequential Art,4,In stock (16 available),2025-09-24 12:41:20.663650,the nameless city the nameless city 1,In Stock,Mid-range,Good
books_toscrape,The Murder That Never Was (Forensic Instincts #5),54.11,Fiction,3,In stock (16 available),2025-09-24 12:41:21.450549,the murder that never was forensic instincts 5,In Stock,Premium,Average
books_toscrape,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,Science,4,In stock (16 available),2025-09-24 12:41:22.258108,the most perfect thing inside and outside a birds egg,In Stock,Mid-range,Good
books_toscrape,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,Add a comment,4,In stock (16 available),2025-09-24 12:41:23.061342,"the mindfulness and acceptance workbook for anxiety a guide to breaking free from anxiety, phobias, and worry using acceptance and commitment therapy",In Stock,Affordable,Good
books_toscrape,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,Nonfiction,3,In stock (16 available),2025-09-24 12:41:23.870358,the lifechanging magic of tidying up the japanese art of decluttering and organizing,In Stock,Affordable,Average
books_toscrape,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,Default,5,In stock (16 available),2025-09-24 12:41:24.663148,"the inefficiency assassin time management tactics for working smarter, not longer",In Stock,Affordable,Excellent
books_toscrape,The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,Nonfiction,1,In stock (16 available),2025-09-24 12:41:25.454162,the gutsy girl escapades for your life of epic adventure,In Stock,Mid-range,Very Poor
books_toscrape,The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,Nonfiction,1,In stock (16 available),2025-09-24 12:41:26.247771,the electric pencil drawings from inside state hospital no. 3,In Stock,Premium,Very Poor
books_toscrape,The Death of Humanity: and the Case for Life,58.11,Philosophy,4,In stock (16 available),2025-09-24 12:41:27.053303,the death of humanity and the case for life,In Stock,Premium,Good
books_toscrape,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,Health,3,In stock (16 available),2025-09-24 12:41:27.847415,"the bulletproof diet lose up to a pound a day, reclaim energy and focus, upgrade your life",In Stock,Mid-range,Average
books_toscrape,The Art Forger,40.76,Add a comment,3,In stock (16 available),2025-09-24 12:41:28.647326,the art forger,In Stock,Mid-range,Average
books_toscrape,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,History,1,In stock (16 available),2025-09-24 12:41:29.459374,the age of genius the seventeenth century and the birth of the modern mind,In Stock,Affordable,Very Poor
books_toscrape,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,Spirituality,5,In stock (16 available),2025-09-24 12:41:30.319991,the activists tao te ching ancient advice for a modern revolution,In Stock,Mid-range,Excellent
books_toscrape,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,Nonfiction,4,In stock (16 available),2025-09-24 12:41:31.122410,spark joy an illustrated master class on the art of organizing and tidying up,In Stock,Mid-range,Good
books_toscrape,Soul Reader,39.58,Default,2,In stock (16 available),2025-09-24 12:41:31.913679,soul reader,In Stock,Mid-range,Poor
books_toscrape,Security,39.25,Horror,2,In stock (16 available),2025-09-24 12:41:32.729292,security,In Stock,Mid-range,Poor
books_toscrape,"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,Fantasy,3,In stock (16 available),2025-09-24 12:41:33.977485,"saga, volume 6 saga collected editions 6",In Stock,Mid-range,Average
books_toscrape,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Sequential Art,2,In stock (16 available),2025-09-24 12:41:34.789367,"saga, volume 5 saga collected editions 5",In Stock,Premium,Poor
books_toscrape,Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Nonfiction,2,In stock (16 available),2025-09-24 12:41:35.606719,reskilling america learning to labor in the twentyfirst century,In Stock,Affordable,Poor
books_toscrape,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Sequential Art,3,In stock (16 available),2025-09-24 12:41:36.391387,"rat queens, vol. 3 demons rat queens collected editions 1115",In Stock,Premium,Average
books_toscrape,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Sequential Art,5,In stock (16 available),2025-09-24 12:41:39.361508,"princess jellyfish 2in1 omnibus, vol. 01 princess jellyfish 2in1 omnibus 1",In Stock,Affordable,Excellent
books_toscrape,Princess Between Worlds (Wide-Awake Princess #5),13.34,Fantasy,5,In stock (16 available),2025-09-24 12:41:40.227809,princess between worlds wideawake princess 5,In Stock,Affordable,Excellent
books_toscrape,"Pop Gun War, Volume 1: Gift",18.97,Sequential Art,1,In stock (16 available),2025-09-24 12:41:41.020420,"pop gun war, volume 1 gift",In Stock,Affordable,Very Poor
books_toscrape,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,History,2,In stock (16 available),2025-09-24 12:41:42.830753,"political suicide missteps, peccadilloes, bad calls, backroom hijinx, sordid pasts, rotten breaks, and just plain dumb mistakes in the annals of american politics",In Stock,Mid-range,Poor
books_toscrape,Patience,10.16,Sequential Art,3,In stock (16 available),2025-09-24 12:41:43.635627,patience,In Stock,Affordable,Average
books_toscrape,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Sequential Art,4,In stock (16 available),2025-09-24 12:41:44.435171,"outcast, vol. 1 a darkness surrounds him outcast 1",In Stock,Affordable,Good
books_toscrape,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,Sequential Art,1,In stock (16 available),2025-09-24 12:41:45.246779,orange the complete collection 1 orange the complete collection 1,In Stock,Mid-range,Very Poor
books_toscrape,Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,Self Help,1,In stock (16 available),2025-09-24 12:41:46.037568,online marketing for busy authors a stepbystep guide,In Stock,Mid-range,Very Poor
books_toscrape,On a Midnight Clear,14.07,Add a comment,3,In stock (16 available),2025-09-24 12:41:46.830557,on a midnight clear,In Stock,Affordable,Average
books_toscrape,Obsidian (Lux #1),14.86,Young Adult,2,In stock (16 available),2025-09-24 12:41:49.006717,obsidian lux 1,In Stock,Affordable,Poor
books_toscrape,My Paris Kitchen: Recipes and Stories,33.37,Food and Drink,2,In stock (16 available),2025-09-24 12:41:49.799734,my paris kitchen recipes and stories,In Stock,Mid-range,Poor
books_toscrape,Masks and Shadows,56.4,Fantasy,2,In stock (16 available),2025-09-24 12:41:50.594681,masks and shadows,In Stock,Premium,Poor
books_toscrape,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,Food and Drink,4,In stock (16 available),2025-09-24 12:41:51.556071,"mama tried traditional italian cooking for the screwed, crude, vegan, and tattooed",In Stock,Affordable,Good
books_toscrape,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Sequential Art,2,In stock (16 available),2025-09-24 12:41:52.353108,"lumberjanes, vol. 2 friendship to the max lumberjanes 58",In Stock,Mid-range,Poor
books_toscrape,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Sequential Art,3,In stock (16 available),2025-09-24 12:41:53.163220,"lumberjanes, vol. 1 beware the kitten holy lumberjanes 14",In Stock,Mid-range,Average
books_toscrape,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Sequential Art,2,In stock (16 available),2025-09-24 12:41:53.958269,lumberjanes vol. 3 a terrible plan lumberjanes 912,In Stock,Affordable,Poor
books_toscrape,"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,Food and Drink,1,In stock (16 available),2025-09-24 12:41:54.765058,"layered baking, building, and styling spectacular cakes",In Stock,Mid-range,Very Poor
books_toscrape,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,Add a comment,2,In stock (16 available),2025-09-24 12:41:55.558746,judo seven steps to black belt an introductory guide for beginners,In Stock,Premium,Poor
books_toscrape,Join,35.67,Science Fiction,5,In stock (16 available),2025-09-24 12:41:56.374812,join,In Stock,Mid-range,Excellent
books_toscrape,In the Country We Love: My Family Divided,22.0,Nonfiction,4,In stock (16 available),2025-09-24 12:41:57.175933,in the country we love my family divided,In Stock,Affordable,Good
books_toscrape,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,Science,5,In stock (16 available),2025-09-24 12:42:00.045096,immunity how elie metchnikoff changed the course of modern medicine,In Stock,Premium,Excellent
books_toscrape,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,Sequential Art,2,In stock (16 available),2025-09-24 12:42:00.847863,"i hate fairyland, vol. 1 madly ever after i hate fairyland compilations 15",In Stock,Mid-range,Poor
books_toscrape,I am a Hero Omnibus Volume 1,54.63,Sequential Art,3,In stock (16 available),2025-09-24 12:42:01.666651,i am a hero omnibus volume 1,In Stock,Premium,Average
books_toscrape,How to Be Miserable: 40 Strategies You Already Use,46.03,Self Help,1,In stock (16 available),2025-09-24 12:42:02.585262,how to be miserable 40 strategies you already use,In Stock,Mid-range,Very Poor
books_toscrape,Her Backup Boyfriend (The Sorensen Family #1),33.97,Romance,1,In stock (16 available),2025-09-24 12:42:03.430270,her backup boyfriend the sorensen family 1,In Stock,Mid-range,Very Poor
books_toscrape,"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,Sequential Art,2,In stock (16 available),2025-09-24 12:42:04.227688,"giant days, vol. 2 giant days 58",In Stock,Affordable,Poor
books_toscrape,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Historical Fiction,3,In stock (16 available),2025-09-24 12:42:05.041944,forever and forever the courtship of henry longfellow and fanny appleton,In Stock,Mid-range,Average
books_toscrape,First and First (Five Boroughs #3),15.97,Romance,4,In stock (16 available),2025-09-24 12:42:05.965685,first and first five boroughs 3,In Stock,Affordable,Good
books_toscrape,Fifty Shades Darker (Fifty Shades #2),21.96,Romance,1,In stock (16 available),2025-09-24 12:42:06.754787,fifty shades darker fifty shades 2,In Stock,Affordable,Very Poor
books_toscrape,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,Nonfiction,2,In stock (16 available),2025-09-24 12:42:07.569082,everydata the misinformation hidden in the little data you consume every day,In Stock,Premium,Poor
books_toscrape,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,Religion,2,In stock (16 available),2025-09-24 12:42:08.361021,"dont be a jerk and other practical advice from dogen, japans greatest zen master",In Stock,Mid-range,Poor
books_toscrape,Danganronpa Volume 1,51.99,Sequential Art,4,In stock (16 available),2025-09-24 12:42:09.155602,danganronpa volume 1,In Stock,Premium,Good
books_toscrape,Crown of Midnight (Throne of Glass #2),43.29,Fantasy,3,In stock (16 available),2025-09-24 12:42:09.937215,crown of midnight throne of glass 2,In Stock,Mid-range,Average
books_toscrape,"Codename Baboushka, Volume 1: The Conclave of Death",36.72,Sequential Art,4,In stock (16 available),2025-09-24 12:42:10.727234,"codename baboushka, volume 1 the conclave of death",In Stock,Mid-range,Good
books_toscrape,Camp Midnight,17.08,Sequential Art,4,In stock (16 available),2025-09-24 12:42:11.519019,camp midnight,In Stock,Affordable,Good
books_toscrape,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,Nonfiction,5,In stock (16 available),2025-09-24 12:42:12.314103,call the nurse true stories of a country nurse on a scottish isle,In Stock,Mid-range,Excellent
books_toscrape,Burning,28.81,Young Adult,3,In stock (16 available),2025-09-24 12:42:13.105856,burning,In Stock,Mid-range,Average
books_toscrape,Bossypants,49.46,Default,2,In stock (16 available),2025-09-24 12:42:13.935793,bossypants,In Stock,Mid-range,Poor
books_toscrape,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,Sequential Art,2,In stock (16 available),2025-09-24 12:42:14.803796,"bitch planet, vol. 1 extraordinary machine bitch planet collected editions",In Stock,Mid-range,Poor
books_toscrape,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,Fantasy,2,In stock (16 available),2025-09-24 12:42:15.611581,"avatar the last airbender smoke and shadow, part 3 smoke and shadow 3",In Stock,Mid-range,Poor
books_toscrape,Algorithms to Live By: The Computer Science of Human Decisions,30.81,Nonfiction,1,In stock (16 available),2025-09-24 12:42:18.605534,algorithms to live by the computer science of human decisions,In Stock,Mid-range,Very Poor
books_toscrape,A World of Flavor: Your Gluten Free Passport,42.95,Default,1,In stock (16 available),2025-09-24 12:42:19.552864,a world of flavor your gluten free passport,In Stock,Mid-range,Very Poor
books_toscrape,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,Default,5,In stock (16 available),2025-09-24 12:42:20.380446,"a piece of sky, a grain of rice a memoir in four meditations",In Stock,Premium,Excellent
books_toscrape,A Murder in Time,16.64,Mystery,1,In stock (16 available),2025-09-24 12:42:21.170932,a murder in time,In Stock,Affordable,Very Poor
books_toscrape,A Flight of Arrows (The Pathfinders #2),55.53,Historical Fiction,5,In stock (16 available),2025-09-24 12:42:21.968179,a flight of arrows the pathfinders 2,In Stock,Premium,Excellent
books_toscrape,A Fierce and Subtle Poison,28.13,Young Adult,4,In stock (16 available),2025-09-24 12:42:22.750710,a fierce and subtle poison,In Stock,Mid-range,Good
books_toscrape,A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,Fantasy,1,In stock (16 available),2025-09-24 12:42:23.558735,a court of thorns and roses a court of thorns and roses 1,In Stock,Premium,Very Poor
books_toscrape,(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,Christian,5,In stock (16 available),2025-09-24 12:42:24.364726,unqualified how god uses broken people to do big things,In Stock,Premium,Excellent
books_toscrape,You Are What You Love: The Spiritual Power of Habit,21.87,Religion,4,In stock (15 available),2025-09-24 12:42:25.164112,you are what you love the spiritual power of habit,In Stock,Affordable,Good
books_toscrape,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,Science Fiction,4,In stock (15 available),2025-09-24 12:42:26.033549,"william shakespeares star wars verily, a new hope william shakespeares star wars 4",In Stock,Mid-range,Good
books_toscrape,Tuesday Nights in 1980,21.04,Fiction,2,In stock (15 available),2025-09-24 12:42:27.191775,tuesday nights in 1980,In Stock,Affordable,Poor
books_toscrape,Tracing Numbers on a Train,41.6,Default,3,In stock (15 available),2025-09-24 12:42:28.020241,tracing numbers on a train,In Stock,Mid-range,Average
books_toscrape,Throne of Glass (Throne of Glass #1),35.07,Fantasy,3,In stock (15 available),2025-09-24 12:42:28.819331,throne of glass throne of glass 1,In Stock,Mid-range,Average
books_toscrape,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,History,1,In stock (15 available),2025-09-24 12:42:29.621277,thomas jefferson and the tripoli pirates the forgotten war that changed american history,In Stock,Premium,Very Poor
books_toscrape,Thirteen Reasons Why,52.72,Default,1,In stock (15 available),2025-09-24 12:42:30.422147,thirteen reasons why,In Stock,Premium,Very Poor
books_toscrape,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,Childrens,4,In stock (15 available),2025-09-24 12:42:31.243534,the white cat and the monk a retelling of the poem pangur bán,In Stock,Premium,Good
books_toscrape,The Wedding Dress,24.12,Romance,1,In stock (15 available),2025-09-24 12:42:32.068109,the wedding dress,In Stock,Affordable,Very Poor
books_toscrape,The Vacationers,42.15,Fiction,4,In stock (15 available),2025-09-24 12:42:32.882008,the vacationers,In Stock,Mid-range,Good
books_toscrape,The Third Wave: An Entrepreneur’s Vision of the Future,12.61,Business,5,In stock (15 available),2025-09-24 12:42:33.686099,the third wave an entrepreneurs vision of the future,In Stock,Affordable,Excellent
books_toscrape,The Stranger,17.44,Philosophy,4,In stock (15 available),2025-09-24 12:42:34.476859,the stranger,In Stock,Affordable,Good
books_toscrape,The Shadow Hero (The Shadow Hero),33.14,Sequential Art,1,In stock (15 available),2025-09-24 12:42:37.352112,the shadow hero the shadow hero,In Stock,Mid-range,Very Poor
books_toscrape,The Secret (The Secret #1),27.37,Default,4,In stock (15 available),2025-09-24 12:42:38.147196,the secret the secret 1,In Stock,Mid-range,Good
books_toscrape,The Regional Office Is Under Attack!,51.36,Fiction,5,In stock (15 available),2025-09-24 12:42:38.934381,the regional office is under attack!,In Stock,Premium,Excellent
books_toscrape,The Psychopath Test: A Journey Through the Madness Industry,36.0,Default,2,In stock (15 available),2025-09-24 12:42:39.735956,the psychopath test a journey through the madness industry,In Stock,Mid-range,Poor
books_toscrape,The Project,10.65,Science Fiction,1,In stock (15 available),2025-09-24 12:42:40.595979,the project,In Stock,Affordable,Very Poor
